PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202302,8100,3230
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202303,3500,2900
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202304,3300,2815
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202305,5800,2713
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202306,1400,488
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202307,1800,473
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202308,4000,2435
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202309,3400,2819
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202310,3100,2409
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202311,3900,2572
1030716,NWD,WALLER ELEMENTARY SCHOOL,216000,1,ACTIVE,202312,3200,2637
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202301,22061,8040
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202302,18886,7905
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202303,28771,8407
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202304,16431,8646
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202305,23666,9164
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202306,12068,4286
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202307,13262,5039
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202308,16209,6257
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202309,10974,5601
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202310,22654,9371
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202311,23537,7874
1030774,NWD,LANSING SMITH ELECTRIC GENERATING PLANT,3168000,1,ACTIVE,202312,24504,8767
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202301,2400,1574
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202302,2600,1157
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202303,2000,1335
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202304,2000,1586
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202305,2200,1509
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202306,2600,1576
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202307,1800,1464
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202308,2600,1451
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202309,2200,1343
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202310,2200,1416
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202311,16600,1670
1034054,NWD,DEER HAVEN PARK,21600,1,ACTIVE,202312,1700,1238
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202301,24,12
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202302,44,18
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202303,23,12
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202304,27,14
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202305,28,15
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202306,325,136
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202307,77,57
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202308,70,53
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202309,62,44
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202310,70,45
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202311,65,44
1034057,NWD,LISENBY FOOD MART,28800,1,ACTIVE,202312,64,48
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202301,290,191
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202302,280,193
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202303,310,196
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202304,310,234
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202305,320,237
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202306,440,243
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202307,310,247
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202308,270,217
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202309,230,194
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202310,380,246
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202311,310,235
1034060,NWD,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),17280,1,ACTIVE,202312,270,204
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202301,420,204
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202302,250,232
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202303,620,425
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202304,630,308
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202305,540,310
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202306,550,379
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202307,340,264
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202308,340,239
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202309,400,261
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202310,350,280
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202311,520,251
1034062,NWD,MR. MART #13,36000,1,ACTIVE,202312,450,316
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202301,1220,375
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202302,420,235
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202303,330,241
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202304,250,175
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202305,230,154
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202306,440,170
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202307,440,269
1034063,NWD,M & M MARKET #3,17280,1,ACTIVE,202308,250,220
